sim_id,timestamp,L1I_size,L1I_assoc,L1D_size,L1D_assoc,L2_size,L2_assoc,L3_size,L3_assoc,load_queue,store_queue,num_fu_read,num_fu_write,ipc,cpi,energy,edp,runtime_power,leakage_power,total_power,sim_seconds,sim_ticks
89,2025-10-29T16:58:00.199687,64kB,4,128kB,2,128kB,8,2MB,16,72,80,2,1,0.954779,1.047363,2.259214,2.3662175288,1.618770,0.538280,2.157050,0.118893,118893432644
90,2025-10-29T16:58:06.546987,64kB,4,64kB,4,256kB,8,2MB,16,72,64,2,1,0.956470,1.045511,2.265237,2.3683297238,1.624870,0.541761,2.166631,0.118683,118683128228
93,2025-10-29T17:14:31.779290,64kB,4,64kB,2,256kB,8,2MB,16,72,64,2,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
94,2025-10-29T17:14:32.502986,64kB,4,128kB,2,256kB,16,2MB,16,72,80,3,1,0.957418,1.044476,2.268636,2.3695362096,1.622090,0.549943,2.172033,0.118566,118565744248
92,2025-10-29T17:14:34.595321,64kB,4,64kB,4,256kB,8,2MB,16,72,64,2,1,0.956470,1.045511,2.265237,2.3683297238,1.624870,0.541761,2.166631,0.118683,118683128228
91,2025-10-29T17:14:40.861534,64kB,4,128kB,2,1MB,8,2MB,16,64,72,2,2,0.958268,1.043549,2.325631,2.4269103081,1.620080,0.608499,2.228579,0.118460,118460477800
95,2025-10-29T17:14:46.254021,128kB,4,512kB,2,512kB,8,2MB,16,72,72,3,1,0.959524,1.042183,2.452037,2.5554709624,1.746350,0.606439,2.352789,0.118305,118305434604
96,2025-10-29T17:31:04.667435,128kB,4,64kB,4,1MB,8,2MB,16,72,64,3,2,0.959158,1.042581,2.333248,2.4326003660,1.631770,0.606184,2.237954,0.118351,118350516564
99,2025-10-29T17:31:06.974735,128kB,4,512kB,4,128kB,8,2MB,16,64,80,2,1,0.959465,1.042248,2.422595,2.5249447912,1.749180,0.575214,2.324394,0.118313,118312761196
97,2025-10-29T17:31:07.033779,64kB,4,64kB,2,256kB,8,2MB,16,72,64,3,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
98,2025-10-29T17:31:08.490210,128kB,4,512kB,4,1MB,8,2MB,16,72,72,3,2,0.959629,1.042069,2.494688,2.5996372132,1.748460,0.645516,2.393976,0.118292,118292425524
100,2025-10-29T17:31:21.036319,128kB,4,64kB,4,256kB,8,2MB,16,64,64,2,1,0.958513,1.043283,2.270674,2.3689557403,1.630080,0.546390,2.176470,0.118430,118430301304
101,2025-10-29T17:47:21.112239,128kB,4,512kB,4,256kB,8,2MB,16,64,72,2,1,0.959517,1.042191,2.431487,2.5340737004,1.747330,0.585723,2.333053,0.118306,118306326628
104,2025-10-29T17:47:24.099019,128kB,4,512kB,4,128kB,8,2MB,16,72,64,2,1,0.959473,1.042239,2.419655,2.5218585644,1.746420,0.575173,2.321593,0.118312,118311723040
102,2025-10-29T17:47:32.648518,128kB,4,128kB,2,1MB,8,2MB,16,72,80,2,2,0.959122,1.042620,2.336567,2.4361511507,1.627800,0.613253,2.241053,0.118355,118354988584
105,2025-10-29T17:47:45.494682,128kB,4,128kB,4,256kB,8,2MB,16,48,72,2,1,0.958736,1.043040,2.338061,2.4386908662,1.688270,0.553313,2.241583,0.118403,118402675216
103,2025-10-29T17:47:55.862477,64kB,4,512kB,2,1MB,8,2MB,16,72,64,2,2,0.958654,1.043129,2.483165,2.5902618980,1.739730,0.640767,2.380497,0.118413,118412732144
106,2025-10-29T18:03:49.592344,64kB,4,64kB,2,256kB,8,2MB,16,72,64,3,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
107,2025-10-29T18:03:52.792492,64kB,4,64kB,4,128kB,8,2MB,16,64,64,2,1,0.954388,1.047792,2.255287,2.3630721047,1.621250,0.531169,2.152419,0.118942,118942140296
108,2025-10-29T18:04:01.028880,64kB,4,128kB,4,1MB,8,2MB,16,64,72,3,1,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
109,2025-10-29T18:04:14.075861,128kB,4,512kB,2,512kB,16,2MB,16,64,80,2,1,0.959557,1.042148,2.454344,2.5577896869,1.747260,0.607822,2.355082,0.118301,118301429540
110,2025-10-29T18:04:26.881015,128kB,4,64kB,4,1MB,8,2MB,16,72,64,3,2,0.959158,1.042581,2.333248,2.4326003660,1.631770,0.606184,2.237954,0.118351,118350516564
112,2025-10-29T18:20:42.887891,128kB,4,64kB,4,512kB,8,2MB,16,64,64,2,1,0.959018,1.042733,2.291667,2.3895973205,1.630650,0.567101,2.197751,0.118368,118367799172
111,2025-10-29T18:20:43.572770,64kB,4,64kB,2,256kB,8,2MB,16,72,72,3,1,0.956100,1.045916,2.214413,2.3160903588,1.576400,0.540800,2.117200,0.118729,118729144100
113,2025-10-29T18:20:53.855817,128kB,4,512kB,4,1MB,8,2MB,16,72,72,3,2,0.959629,1.042069,2.494688,2.5996372132,1.748460,0.645516,2.393976,0.118292,118292425524
114,2025-10-29T18:20:58.048206,64kB,4,64kB,4,256kB,8,2MB,16,64,64,2,1,0.956470,1.045511,2.264117,2.3671590209,1.623840,0.541720,2.165560,0.118683,118683128228
115,2025-10-29T18:21:09.586603,64kB,4,128kB,2,256kB,16,2MB,16,72,72,2,1,0.957437,1.044455,2.266584,2.3673453353,1.620210,0.549902,2.170112,0.118563,118563320456
116,2025-10-29T18:37:07.233290,64kB,4,64kB,2,256kB,8,2MB,16,72,72,3,1,0.956100,1.045916,2.214413,2.3160903588,1.576400,0.540800,2.117200,0.118729,118729144100
117,2025-10-29T18:37:12.282749,64kB,4,512kB,2,1MB,8,2MB,16,64,64,2,2,0.958654,1.043129,2.482048,2.5890965235,1.738700,0.640726,2.379426,0.118413,118412732144
118,2025-10-29T18:37:19.853038,128kB,4,512kB,4,1MB,8,2MB,16,72,64,2,1,0.959619,1.042080,2.492671,2.5975625865,1.746540,0.645475,2.392015,0.118294,118293675500
119,2025-10-29T18:37:26.111730,64kB,4,64kB,2,512kB,8,2MB,16,48,80,2,1,0.957699,1.044169,2.232801,2.3314214511,1.576940,0.561412,2.138352,0.118531,118530871060
120,2025-10-29T18:37:26.538552,64kB,4,64kB,2,512kB,8,2MB,16,48,80,3,1,0.957699,1.044169,2.232801,2.3314214511,1.576940,0.561412,2.138352,0.118531,118530871060
121,2025-10-29T18:53:41.532908,128kB,4,512kB,2,256kB,8,2MB,16,72,64,2,1,0.959434,1.042281,2.428552,2.5312338699,1.744350,0.585686,2.330036,0.118317,118316566816
125,2025-10-29T18:53:45.178399,64kB,4,64kB,2,512kB,8,2MB,16,64,64,2,1,0.957689,1.044180,2.231150,2.3297217127,1.575320,0.561428,2.136748,0.118532,118532084860
